,Israel,Jordan,West Bank,Gaza
87,4114.0,21421.613181194643,572.0623134102145,1229.9210574048252
88,4114.0,21421.613181194643,572.0623134102145,1229.9210574048252
89,4114.0,21421.613181194643,572.0623134102145,1229.9210574048252
90,4114.0,22326.318359246172,0.0,709.4731880383591
91,4114.0,22326.318359246172,0.0,709.4731880383591
92,4114.0,22326.318359246172,0.0,709.4731880383591
93,4114.0,21418.1183200091,409.0647053804818,1229.9210574048252
94,4114.0,21418.1183200091,409.0647053804818,1229.9210574048252
95,4114.0,21418.1183200091,409.0647053804818,1229.9210574048252
96,4114.0,21418.1183200091,409.0647053804818,1229.9210574048252
97,4114.0,21418.1183200091,409.0647053804818,1229.9210574048252
98,4114.0,21418.1183200091,409.0647053804818,1229.9210574048252
99,4114.0,21418.1183200091,409.0647053804818,1229.9210574048252
