scenario,season,variable,value
BAU,Jan-Apr,sox,0.812
BAU,Jan-Apr,sox,0.712
BAU,Jan-Apr,sox,0.736
BAU,May-Sep,sox,0.968
BAU,May-Sep,sox,0.968
BAU,May-Sep,sox,1.14
BAU,May-Sep,sox,1.025
BAU,May-Sep,sox,0.872
BAU,Oct-Dec,sox,0.941
BAU,Oct-Dec,sox,0.86
BAU,Oct-Dec,sox,0.916
BAU,Jan-Apr,sox,1.06
BAU,Jan-Apr,sox,0.819
BAU,Jan-Apr,sox,0.765
BAU,Jan-Apr,sox,0.82
BAU,May-Sep,sox,0.893
BAU,May-Sep,sox,0.99
BAU,May-Sep,sox,1.195
BAU,May-Sep,sox,0.983
BAU,May-Sep,sox,0.923
BAU,Oct-Dec,sox,0.884
BAU,Oct-Dec,sox,0.864
BAU,Oct-Dec,sox,0.901
BAU,Jan-Apr,sox,1.079
BAU,Jan-Apr,sox,0.829
BAU,Jan-Apr,sox,0.724
BAU,Jan-Apr,sox,0.748
BAU,May-Sep,sox,0.884
BAU,May-Sep,sox,1.024
BAU,May-Sep,sox,1.157
BAU,May-Sep,sox,1.036
BAU,May-Sep,sox,0.904
BAU,Oct-Dec,sox,0.821
BAU,Oct-Dec,sox,0.825
BAU,Oct-Dec,sox,0.928
BAU,Jan-Apr,sox,1.106
BAU,Jan-Apr,sox,0.897
BAU,Jan-Apr,sox,0.73
BAU,Jan-Apr,sox,0.694
BAU,May-Sep,sox,0.935
BAU,May-Sep,sox,1.057
BAU,May-Sep,sox,0.998
BAU,May-Sep,sox,1.053
BAU,May-Sep,sox,0.886
BAU,Oct-Dec,sox,0.772
BAU,Oct-Dec,sox,0.846
BAU,Oct-Dec,sox,1.074
BAU,Jan-Apr,sox,1.059
BAU,Jan-Apr,sox,0.812
BAU,Jan-Apr,sox,0.802
BAU,Jan-Apr,sox,0.684
BAU,May-Sep,sox,0.932
BAU,May-Sep,sox,1.044
BAU,May-Sep,sox,0.945
BAU,May-Sep,sox,1.072
BAU,May-Sep,sox,0.88
BAU,Oct-Dec,sox,0.805
BAU,Oct-Dec,sox,0.842
BAU,Oct-Dec,sox,1.024
BAU,Jan-Apr,sox,1.03
BAU,Jan-Apr,sox,0.773
BAU,Jan-Apr,sox,0.748
BAU,May-Sep,sox,0.883
BAU,May-Sep,sox,0.894
BAU,May-Sep,sox,1.039
BAU,May-Sep,sox,1.096
BAU,May-Sep,sox,0.909
BAU,Oct-Dec,sox,0.793
BAU,Oct-Dec,sox,0.831
BAU,Oct-Dec,sox,0.995
BAU,Jan-Apr,sox,0.97
BAU,Jan-Apr,sox,0.696
BAU,Jan-Apr,sox,0.781
BAU,May-Sep,sox,0.851
BAU,May-Sep,sox,0.865
BAU,May-Sep,sox,1.041
BAU,May-Sep,sox,1.104
BAU,May-Sep,sox,1.03
BAU,Oct-Dec,sox,0.766
BAU,Oct-Dec,sox,0.787
BAU,Oct-Dec,sox,1.026
BAU,Jan-Apr,sox,0.984
BAU,Jan-Apr,sox,0.715
BAU,May-Sep,sox,0.854
BAU,May-Sep,sox,1.047
BAU,May-Sep,sox,1.053
BAU,Oct-Dec,sox,0.811
BAU,Oct-Dec,sox,1.031
COO,Jan-Apr,sox,1.056
COO,Jan-Apr,sox,0.944
COO,Jan-Apr,sox,0.717
COO,Jan-Apr,sox,0.617
COO,May-Sep,sox,0.909
COO,May-Sep,sox,0.808
COO,May-Sep,sox,0.999
COO,May-Sep,sox,1.085
COO,May-Sep,sox,1.08
COO,Oct-Dec,sox,0.952
COO,Oct-Dec,sox,0.799
COO,Oct-Dec,sox,0.747
COO,Jan-Apr,sox,0.972
COO,Jan-Apr,sox,0.865
COO,Jan-Apr,sox,0.762
COO,Jan-Apr,sox,0.684
COO,May-Sep,sox,0.958
COO,May-Sep,sox,0.738
COO,May-Sep,sox,1.016
COO,May-Sep,sox,1.071
COO,May-Sep,sox,1.176
COO,Oct-Dec,sox,1.055
COO,Oct-Dec,sox,0.76
COO,Oct-Dec,sox,0.809
COO,Jan-Apr,sox,0.91
COO,Jan-Apr,sox,0.747
COO,Jan-Apr,sox,0.668
COO,Jan-Apr,sox,0.705
COO,May-Sep,sox,0.965
COO,May-Sep,sox,0.872
COO,May-Sep,sox,1.043
COO,May-Sep,sox,1.05
COO,May-Sep,sox,1.168
COO,Oct-Dec,sox,1.089
COO,Oct-Dec,sox,0.718
COO,Oct-Dec,sox,0.872
COO,Jan-Apr,sox,0.964
COO,Jan-Apr,sox,0.738
COO,Jan-Apr,sox,0.731
COO,Jan-Apr,sox,0.726
COO,May-Sep,sox,0.96
COO,May-Sep,sox,0.935
COO,May-Sep,sox,1.084
COO,May-Sep,sox,1.03
COO,May-Sep,sox,1.206
COO,Oct-Dec,sox,1.06
COO,Oct-Dec,sox,0.771
COO,Oct-Dec,sox,0.854
COO,Jan-Apr,sox,1.017
COO,Jan-Apr,sox,0.753
COO,Jan-Apr,sox,0.789
COO,Jan-Apr,sox,0.653
COO,May-Sep,sox,0.806
COO,May-Sep,sox,0.99
COO,May-Sep,sox,1.136
COO,May-Sep,sox,1.137
COO,May-Sep,sox,1.167
COO,Oct-Dec,sox,0.887
COO,Oct-Dec,sox,0.74
COO,Oct-Dec,sox,0.843
COO,Jan-Apr,sox,0.755
COO,Jan-Apr,sox,0.957
COO,Jan-Apr,sox,0.76
COO,Jan-Apr,sox,0.716
COO,May-Sep,sox,0.869
COO,May-Sep,sox,1.049
COO,May-Sep,sox,1.045
COO,May-Sep,sox,1.119
COO,May-Sep,sox,1.086
COO,Oct-Dec,sox,0.866
COO,Oct-Dec,sox,0.796
COO,Oct-Dec,sox,0.89
COO,Jan-Apr,sox,0.883
COO,Jan-Apr,sox,1.03
COO,Jan-Apr,sox,0.7
COO,Jan-Apr,sox,0.63
COO,May-Sep,sox,0.863
COO,May-Sep,sox,1.088
COO,May-Sep,sox,0.999
COO,May-Sep,sox,1.117
COO,May-Sep,sox,0.91
COO,Oct-Dec,sox,0.972
COO,Oct-Dec,sox,0.808
COO,Oct-Dec,sox,0.939
COO,Jan-Apr,sox,0.833
COO,Jan-Apr,sox,0.794
COO,Jan-Apr,sox,0.705
COO,Jan-Apr,sox,0.841
COO,May-Sep,sox,0.734
COO,May-Sep,sox,1.003
COO,May-Sep,sox,1.115
COO,May-Sep,sox,1.133
COO,May-Sep,sox,0.901
COO,Oct-Dec,sox,0.895
COO,Oct-Dec,sox,0.822
COO,Oct-Dec,sox,0.914
COO,Jan-Apr,sox,0.922
COO,Jan-Apr,sox,0.746
COO,Jan-Apr,sox,0.718
COO,Jan-Apr,sox,0.719
COO,May-Sep,sox,0.718
COO,May-Sep,sox,0.946
COO,May-Sep,sox,1.106
COO,May-Sep,sox,1.138
COO,May-Sep,sox,0.93
COO,Oct-Dec,sox,0.908
COO,Oct-Dec,sox,0.747
COO,Oct-Dec,sox,0.963
COO,Jan-Apr,sox,1.029
COO,Jan-Apr,sox,0.781
COO,Jan-Apr,sox,0.642
COO,Jan-Apr,sox,0.732
COO,May-Sep,sox,0.807
COO,May-Sep,sox,1.059
COO,May-Sep,sox,1.122
COO,May-Sep,sox,1.078
COO,May-Sep,sox,0.858
COO,Oct-Dec,sox,0.936
COO,Oct-Dec,sox,0.681
COO,Oct-Dec,sox,0.961
COO,Jan-Apr,sox,0.864
COO,Jan-Apr,sox,0.802
COO,Jan-Apr,sox,0.773
COO,Jan-Apr,sox,0.704
COO,May-Sep,sox,0.763
COO,May-Sep,sox,1.025
COO,May-Sep,sox,1.095
COO,May-Sep,sox,0.997
COO,May-Sep,sox,0.882
COO,Oct-Dec,sox,0.929
COO,Oct-Dec,sox,0.777
COO,Oct-Dec,sox,1.092
COO,Jan-Apr,sox,0.823
COO,Jan-Apr,sox,0.813
COO,Jan-Apr,sox,0.704
COO,Jan-Apr,sox,0.723
COO,May-Sep,sox,0.644
COO,May-Sep,sox,0.937
COO,May-Sep,sox,1.051
COO,May-Sep,sox,1.101
COO,May-Sep,sox,1.071
COO,Oct-Dec,sox,0.776
COO,Oct-Dec,sox,0.782
COO,Oct-Dec,sox,0.848
COO,Jan-Apr,sox,0.744
COO,Jan-Apr,sox,0.816
COO,Jan-Apr,sox,0.679
COO,Jan-Apr,sox,0.624
COO,May-Sep,sox,0.734
COO,May-Sep,sox,0.934
COO,May-Sep,sox,0.944
COO,May-Sep,sox,1.092
COO,May-Sep,sox,1.09
COO,Oct-Dec,sox,0.775
COO,Oct-Dec,sox,0.808
COO,Oct-Dec,sox,0.926
COO,Jan-Apr,sox,0.879
COO,Jan-Apr,sox,0.774
COO,Jan-Apr,sox,0.689
COO,Jan-Apr,sox,0.637
COO,May-Sep,sox,0.773
COO,May-Sep,sox,0.999
COO,May-Sep,sox,1.015
COO,May-Sep,sox,1.073
COO,May-Sep,sox,0.932
COO,Oct-Dec,sox,0.905
COO,Oct-Dec,sox,0.878
COO,Oct-Dec,sox,0.903
COO,Jan-Apr,sox,0.911
COO,Jan-Apr,sox,0.805
COO,Jan-Apr,sox,0.751
COO,Jan-Apr,sox,0.931
COO,May-Sep,sox,0.755
COO,May-Sep,sox,0.933
COO,May-Sep,sox,1.138
COO,May-Sep,sox,1.085
COO,May-Sep,sox,0.854
COO,Oct-Dec,sox,0.947
COO,Oct-Dec,sox,0.857
COO,Oct-Dec,sox,0.812
COO,Jan-Apr,sox,0.779
COO,Jan-Apr,sox,0.821
COO,Jan-Apr,sox,0.655
COO,Jan-Apr,sox,0.713
COO,May-Sep,sox,0.86
COO,May-Sep,sox,0.975
COO,May-Sep,sox,1.177
COO,May-Sep,sox,1.095
COO,May-Sep,sox,0.999
COO,Oct-Dec,sox,0.979
COO,Oct-Dec,sox,0.997
COO,Oct-Dec,sox,0.854
COO,Jan-Apr,sox,0.877
COO,Jan-Apr,sox,0.871
COO,Jan-Apr,sox,0.636
COO,Jan-Apr,sox,0.702
COO,May-Sep,sox,0.938
COO,May-Sep,sox,1.03
COO,May-Sep,sox,1.166
COO,May-Sep,sox,0.983
COO,May-Sep,sox,1.021
COO,Oct-Dec,sox,1.012
COO,Oct-Dec,sox,0.706
COO,Oct-Dec,sox,0.902
COO,Jan-Apr,sox,1.041
COO,Jan-Apr,sox,1.072
COO,Jan-Apr,sox,0.745
COO,Jan-Apr,sox,0.685
COO,May-Sep,sox,0.997
COO,May-Sep,sox,0.99
COO,May-Sep,sox,1.137
COO,May-Sep,sox,0.945
COO,May-Sep,sox,0.969
COO,Oct-Dec,sox,0.953
COO,Oct-Dec,sox,0.739
COO,Oct-Dec,sox,0.927
COO,Jan-Apr,sox,0.965
COO,Jan-Apr,sox,0.886
COO,Jan-Apr,sox,0.753
COO,Jan-Apr,sox,0.617
COO,May-Sep,sox,1.029
COO,May-Sep,sox,0.975
COO,May-Sep,sox,1.14
COO,May-Sep,sox,1.08
COO,May-Sep,sox,0.896
COO,Oct-Dec,sox,0.809
COO,Oct-Dec,sox,0.729
COO,Oct-Dec,sox,0.888
COO,Jan-Apr,sox,0.935
COO,Jan-Apr,sox,0.906
COO,Jan-Apr,sox,0.779
COO,Jan-Apr,sox,0.643
COO,May-Sep,sox,0.955
COO,May-Sep,sox,0.997
COO,May-Sep,sox,1.018
COO,May-Sep,sox,1.065
COO,May-Sep,sox,1.012
COO,Oct-Dec,sox,0.741
COO,Oct-Dec,sox,0.721
COO,Oct-Dec,sox,0.905
COO,Jan-Apr,sox,1.003
COO,Jan-Apr,sox,0.809
COO,Jan-Apr,sox,0.763
COO,Jan-Apr,sox,0.593
COO,May-Sep,sox,1.055
COO,May-Sep,sox,1.014
COO,May-Sep,sox,0.956
COO,May-Sep,sox,1.063
COO,May-Sep,sox,0.921
COO,Oct-Dec,sox,0.892
COO,Oct-Dec,sox,0.744
COO,Oct-Dec,sox,0.866
COO,Jan-Apr,sox,0.919
COO,Jan-Apr,sox,0.823
COO,Jan-Apr,sox,0.733
COO,Jan-Apr,sox,0.682
COO,May-Sep,sox,1.136
COO,May-Sep,sox,0.986
COO,May-Sep,sox,1.084
COO,May-Sep,sox,1.081
COO,May-Sep,sox,0.875
COO,Oct-Dec,sox,0.978
COO,Oct-Dec,sox,0.886
COO,Oct-Dec,sox,0.859
COO,Jan-Apr,sox,1.003
COO,Jan-Apr,sox,0.81
COO,Jan-Apr,sox,0.789
COO,Jan-Apr,sox,0.738
COO,May-Sep,sox,1.115
COO,May-Sep,sox,0.931
COO,May-Sep,sox,1.17
COO,May-Sep,sox,1.114
COO,May-Sep,sox,0.905
COO,Oct-Dec,sox,0.95
COO,Oct-Dec,sox,0.816
COO,Oct-Dec,sox,0.9
COO,Jan-Apr,sox,0.992
COO,Jan-Apr,sox,0.775
COO,Jan-Apr,sox,0.657
COO,Jan-Apr,sox,0.739
COO,May-Sep,sox,0.983
COO,May-Sep,sox,1.034
COO,May-Sep,sox,1.201
COO,May-Sep,sox,1.073
COO,May-Sep,sox,0.882
COO,Oct-Dec,sox,0.957
COO,Oct-Dec,sox,0.814
COO,Oct-Dec,sox,0.85
COO,Jan-Apr,sox,1.091
COO,Jan-Apr,sox,0.756
COO,Jan-Apr,sox,0.724
COO,Jan-Apr,sox,0.871
COO,May-Sep,sox,0.911
COO,May-Sep,sox,1.059
COO,May-Sep,sox,1.265
COO,May-Sep,sox,1.006
COO,May-Sep,sox,0.954
COO,Oct-Dec,sox,0.919
COO,Oct-Dec,sox,0.832
COO,Oct-Dec,sox,0.811
COO,Jan-Apr,sox,1.068
COO,Jan-Apr,sox,0.773
COO,Jan-Apr,sox,0.695
COO,Jan-Apr,sox,0.714
COO,May-Sep,sox,0.894
COO,May-Sep,sox,1.077
COO,May-Sep,sox,1.221
COO,May-Sep,sox,1.115
COO,May-Sep,sox,0.919
COO,Oct-Dec,sox,0.781
COO,Oct-Dec,sox,0.745
COO,Oct-Dec,sox,0.816
COO,Jan-Apr,sox,1.134
COO,Jan-Apr,sox,0.871
COO,Jan-Apr,sox,0.699
COO,Jan-Apr,sox,0.676
COO,May-Sep,sox,0.976
COO,May-Sep,sox,1.09
COO,May-Sep,sox,1.04
COO,May-Sep,sox,1.138
COO,May-Sep,sox,0.898
COO,Oct-Dec,sox,0.735
COO,Oct-Dec,sox,0.815
COO,Oct-Dec,sox,0.955
COO,Jan-Apr,sox,0.965
COO,Jan-Apr,sox,0.704
COO,Jan-Apr,sox,0.798
COO,Jan-Apr,sox,0.653
COO,May-Sep,sox,0.974
COO,May-Sep,sox,1.062
COO,May-Sep,sox,0.966
COO,May-Sep,sox,1.145
COO,May-Sep,sox,0.877
COO,Oct-Dec,sox,0.784
COO,Oct-Dec,sox,0.824
COO,Oct-Dec,sox,1.036
COO,Jan-Apr,sox,1.049
COO,Jan-Apr,sox,0.746
COO,Jan-Apr,sox,0.744
COO,May-Sep,sox,0.931
COO,May-Sep,sox,0.927
COO,May-Sep,sox,1.102
COO,May-Sep,sox,1.162
COO,May-Sep,sox,0.895
COO,Oct-Dec,sox,0.766
COO,Oct-Dec,sox,0.816
COO,Oct-Dec,sox,1.005
COO,Jan-Apr,sox,0.934
COO,Jan-Apr,sox,0.62
COO,Jan-Apr,sox,0.761
COO,May-Sep,sox,0.872
COO,May-Sep,sox,0.872
COO,May-Sep,sox,1.113
COO,May-Sep,sox,1.171
COO,May-Sep,sox,1.085
COO,Oct-Dec,sox,0.75
COO,Oct-Dec,sox,0.755
COO,Oct-Dec,sox,1.018
COO,Jan-Apr,sox,0.985
COO,Jan-Apr,sox,0.646
COO,May-Sep,sox,0.922
COO,May-Sep,sox,1.114
COO,May-Sep,sox,1.115
COO,Oct-Dec,sox,0.81
COO,Oct-Dec,sox,1.072
NCO,Jan-Apr,sox,1.019
NCO,Jan-Apr,sox,0.923
NCO,Jan-Apr,sox,0.783
NCO,Jan-Apr,sox,0.671
NCO,May-Sep,sox,0.862
NCO,May-Sep,sox,0.791
NCO,May-Sep,sox,0.958
NCO,May-Sep,sox,1.046
NCO,May-Sep,sox,1.034
NCO,Oct-Dec,sox,0.952
NCO,Oct-Dec,sox,0.809
NCO,Oct-Dec,sox,0.808
NCO,Jan-Apr,sox,0.975
NCO,Jan-Apr,sox,0.853
NCO,Jan-Apr,sox,0.758
NCO,Jan-Apr,sox,0.706
NCO,May-Sep,sox,0.973
NCO,May-Sep,sox,0.759
NCO,May-Sep,sox,0.997
NCO,May-Sep,sox,1.059
NCO,May-Sep,sox,1.125
NCO,Oct-Dec,sox,1.022
NCO,Oct-Dec,sox,0.772
NCO,Oct-Dec,sox,0.844
NCO,Jan-Apr,sox,0.94
NCO,Jan-Apr,sox,0.796
NCO,Jan-Apr,sox,0.703
NCO,Jan-Apr,sox,0.706
NCO,May-Sep,sox,0.959
NCO,May-Sep,sox,0.844
NCO,May-Sep,sox,1.004
NCO,May-Sep,sox,1.024
NCO,May-Sep,sox,1.105
NCO,Oct-Dec,sox,1.03
NCO,Oct-Dec,sox,0.739
NCO,Oct-Dec,sox,0.845
NCO,Jan-Apr,sox,0.973
NCO,Jan-Apr,sox,0.822
NCO,Jan-Apr,sox,0.743
NCO,Jan-Apr,sox,0.726
NCO,May-Sep,sox,0.906
NCO,May-Sep,sox,0.866
NCO,May-Sep,sox,1.03
NCO,May-Sep,sox,0.998
NCO,May-Sep,sox,1.14
NCO,Oct-Dec,sox,0.975
NCO,Oct-Dec,sox,0.787
NCO,Oct-Dec,sox,0.846
NCO,Jan-Apr,sox,1.027
NCO,Jan-Apr,sox,0.854
NCO,Jan-Apr,sox,0.838
NCO,Jan-Apr,sox,0.679
NCO,May-Sep,sox,0.805
NCO,May-Sep,sox,0.968
NCO,May-Sep,sox,1.08
NCO,May-Sep,sox,1.097
NCO,May-Sep,sox,1.117
NCO,Oct-Dec,sox,0.88
NCO,Oct-Dec,sox,0.798
